earnings_date,eps_est,eps_actual,close_before,close_after,price_change_pct,eps_result,Earnings Date,compound
2023-02-02,1.94,1.88,143.5702362060547,152.52426147460938,6.24,Miss,2023-02-02,-0.6772884198258418
2023-05-04,1.43,1.52,165.56106567382812,171.612060546875,3.65,Beat,2023-05-04,-0.0715812520881142
2023-08-03,1.19,1.26,190.6709442138672,180.1859588623047,-5.5,Beat,2023-08-03,0.782999791085562
2023-11-02,1.39,1.46,172.47802734375,175.1350555419922,1.54,Beat,2023-11-02,0.6240118996887514
2024-02-01,2.1,2.18,183.0594482421875,184.4989013671875,0.79,Beat,2024-02-01,0.1236930467501911
2024-05-02,1.5,1.53,168.28366088867188,182.27914428710935,8.32,Beat,2024-05-02,-0.6797452130621118
2024-08-01,1.35,1.4,221.04623413085935,218.83657836914065,-1.0,Beat,2024-08-01,0.6573694356986679
2024-10-31,1.6,1.64,229.29400634765625,222.1291961669922,-3.12,Beat,2024-10-31,-0.6365605301876807
2025-01-30,2.35,2.4,238.78399658203125,235.4320831298828,-1.4,Beat,2025-01-30,-0.4868521526569023
2025-05-01,1.63,1.65,212.22171020507807,205.08106994628903,-3.36,Beat,2025-05-01,0.6246497100540147
