earnings_date,eps_est,eps_actual,close_before,close_after,price_change_pct,eps_result,Earnings Date,compound
2023-01-24,2.29,2.32,237.7491912841797,235.8184051513672,-0.81,Beat,2023-01-24,0.7987289313805634
2023-04-25,2.23,2.45,276.85040283203125,290.2130432128906,4.83,Beat,2023-04-25,0.4808765745460339
2023-07-25,2.55,2.69,339.8258056640625,332.5982360839844,-2.13,Beat,2023-07-25,-0.3321714595800968
2023-10-24,2.65,2.99,324.96417236328125,336.1640930175781,3.45,Beat,2023-10-24,0.3435129054836803
2024-01-30,2.78,2.93,405.121337890625,393.11761474609375,-2.96,Beat,2024-01-30,0.3003829614058451
2024-04-25,2.82,2.94,405.2167053222656,402.5024719238281,-0.67,Beat,2024-04-25,0.6712653105193853
2024-07-30,2.93,2.95,423.483154296875,415.16693115234375,-1.96,Beat,2024-07-30,0.8954398613615644
2024-10-30,3.1,3.3,429.4360961914063,403.985107421875,-5.93,Beat,2024-10-30,0.7869618659864352
2025-01-29,3.11,3.23,445.4872741699219,413.4006042480469,-7.2,Beat,2025-01-29,0.843842987730729
2025-04-30,3.22,3.46,393.3179321289063,424.6204528808594,7.96,Beat,2025-04-30,-0.5286978879802651
