index,earnings_date,eps_est,eps_actual,close_before,close_after,price_change_pct,eps_result,Earnings Date,compound
0,2023-02-02,1.94,1.88,143.57025146484375,152.52426147460938,6.24,Miss,2023-02-02,0.3105325328797068
1,2023-05-04,1.43,1.52,165.56105041503906,171.61203002929688,3.65,Beat,2023-05-04,0.6185817056239138
2,2023-08-03,1.19,1.26,190.6709747314453,180.18592834472656,-5.5,Beat,2023-08-03,0.7431540387616469
3,2023-11-02,1.39,1.46,172.47804260253906,175.1350555419922,1.54,Beat,2023-11-02,-0.4388664501831056
4,2024-02-01,2.1,2.18,183.05941772460935,184.4989013671875,0.79,Beat,2024-02-01,0.1003591442314357
5,2024-05-02,1.5,1.53,168.28366088867188,182.27915954589844,8.32,Beat,2024-05-02,0.0594905372900531
6,2024-08-01,1.35,1.4,221.0462188720703,218.83657836914065,-1.0,Beat,2024-08-01,-0.6072688240561481
7,2024-10-31,1.6,1.64,229.29400634765625,222.12918090820312,-3.12,Beat,2024-10-31,-0.6229380325297142
8,2025-01-30,2.35,2.4,238.7839813232422,235.4320831298828,-1.4,Beat,2025-01-30,-0.6854859914414706
9,2025-05-01,1.63,1.65,212.22171020507807,205.08106994628903,-3.36,Beat,2025-05-01,0.289688990561608
