index,earnings_date,eps_est,eps_actual,close_before,close_after,price_change_pct,eps_result,Earnings Date,compound
0,2023-02-02,1.18,1.05,99.83128356933594,104.15534210205078,4.33,Miss,2023-02-02,-0.240642208977271
1,2023-04-25,1.07,1.17,105.33824920654295,103.09172058105467,-2.13,Beat,2023-04-25,-0.1622902017143588
2,2023-07-25,1.34,1.44,120.80548858642578,128.4993438720703,6.37,Beat,2023-07-25,-0.0630541564392948
3,2023-10-24,1.45,1.55,135.6862335205078,124.86116790771484,-7.98,Beat,2023-10-24,-0.8406689359749491
4,2024-01-30,1.59,1.64,152.59483337402344,139.26478576660156,-8.74,Beat,2024-01-30,-0.0704331047820359
5,2024-04-25,1.51,1.89,158.18133544921875,170.92491149902344,8.06,Beat,2024-04-25,0.6506543605133808
6,2024-07-23,1.84,1.89,180.7942047119141,171.7978057861328,-4.98,Beat,2024-07-23,0.6794870017158363
7,2024-10-29,1.85,2.12,166.13644409179688,173.84934997558594,4.64,Beat,2024-10-29,0.4872863004837815
8,2025-02-04,2.13,2.15,200.7554626464844,190.8788299560547,-4.92,Beat,2025-02-04,-0.7969116188069909
9,2025-04-24,2.01,2.27,155.16217041015625,161.76417541503906,4.25,Beat,2025-04-24,-0.242122704004247
